,City,Country,Temp,Lat,Lon,Humidity,Clouds,Wind Speed
87,Saint-Pierre,FR,55.4,48.95,4.24,100,90,5.82
88,Hare Bay,CA,33.8,48.86,-53.99,86,5,5.82
89,Constitucion,MX,51.21,23.99,-104.67,80,0,2.26
90,Dharchula,IN,56.88,29.85,80.53,65,0,1.7
91,Ribeira Grande,PT,72.27,38.52,-28.7,99,44,7.18
93,Buraydah,SA,77,26.33,43.97,36,0,3.36
94,Konstantinovka,MD,51.3,47.99,28.86,91,20,10.76
95,Hangu,PK,80.6,33.53,71.06,54,40,6.93
97,Hithadhoo,MV,81.36,-0.6,73.08,100,56,23.96
98,Misawa,JP,68,40.75,141.38,52,40,17.22
99,Hobyo,SO,79.11,5.35,48.53,79,56,13
100,Ereymentau,KZ,51.84,51.62,73.1,58,48,5.61
101,Tromso,NO,35.6,69.65,18.96,74,75,17.22
102,Kerchevskiy,RU,44.1,59.95,56.29,99,92,12.33
103,Jizan,SA,87.8,16.89,42.56,74,20,3.36
104,Inyonga,TZ,75.24,-6.72,32.06,41,8,8.75
105,Kudahuvadhoo,MV,81.63,2.67,72.89,100,92,21.94
106,Semey,KZ,49.68,50.41,80.25,64,20,5.06
107,Tlacotepec,MX,54.27,18.96,-99.93,88,48,3.38
108,Kulhudhuffushi,MV,77.94,6.62,73.07,100,92,16.02
110,Margate,AU,53.6,-43.03,147.26,58,40,25.28
111,Ushuaia,AR,35.6,-54.81,-68.31,93,75,8.05
112,Itoman,JP,76.91,26.12,127.67,78,75,12.75
113,Sharjah,AE,92.35,25.36,55.39,49,0,2.24
114,Atuona,PF,77.22,-9.8,-139.03,100,68,11.88
115,Chuy,UY,43.74,-33.69,-53.46,95,0,2.04
117,Colesberg,ZA,45.99,-30.72,25.1,52,0,16.46
118,Shar,NG,74.43,7.3,8.73,95,88,5.95
120,Barstow,US,74.71,31.46,-103.39,75,1,9.17
121,Cibitoke,BI,75.2,-2.89,29.12,60,90,1.36
122,Victoria,BN,84.2,5.28,115.24,83,90,3.36
123,Lorengau,PG,85.05,-2.02,147.27,100,44,3.15
124,Sompeta,IN,89.01,18.93,84.6,100,20,4.16
126,Saint-Ambroise,FR,57.2,47.25,-0.65,87,90,3.38
127,Avera,US,70.99,33.19,-82.53,95,1,3.38
128,Queimadas,BR,68,-7.36,-35.9,94,75,8.05
129,Kiruna,SE,30.2,67.86,20.23,86,90,2.93
130,Verkhoyansk,RU,31.32,67.55,133.39,71,0,3.94
131,Faanui,PF,77.31,-16.48,-151.75,100,24,26.87
132,Viedma,AR,38.61,-40.81,-62.99,70,0,8.19
133,Dunedin,NZ,51.3,-45.87,170.5,82,0,1.14
134,La Mirada,US,69.01,33.91,-118.01,82,20,2.15
135,Manokwari,ID,83.52,-0.87,134.08,100,12,6.06
136,Finote Selam,ET,63.36,10.7,37.27,88,12,3.83
137,Sakaiminato,JP,75.2,35.55,133.23,44,20,10.29
138,Grindavik,IS,37.4,63.84,-22.43,64,0,5.82
139,Matara,PE,33.12,-13.74,-72.9,89,0,1.7
140,Bubaque,GW,77,11.28,-15.83,100,20,2.24
141,Salisbury,GB,52.25,51.07,-1.8,100,20,6.93
142,Santa Cruz,US,66.79,36.97,-122.03,75,90,6.93
143,Puerto Ayora,EC,70.38,-0.74,-90.35,100,48,7.74
144,Manzanillo,CU,81.27,20.34,-77.12,100,48,16.35
145,Saint Anthony,US,62.31,43.97,-111.68,5,40,14.99
146,Talnakh,RU,33.84,69.49,88.39,100,0,8.97
147,Krasnokamensk,RU,68.49,50.1,118.04,35,0,6.4
148,Torgau,DE,50,51.56,13,71,75,18.34
149,Dudinka,RU,34.29,69.41,86.18,94,36,5.84
150,Verkh-Usugli,RU,63.54,52.7,115.17,34,0,5.39
151,Fare,PF,76.41,-16.7,-151.02,100,44,25.97
152,Saint-Augustin,FR,56.21,44.83,-0.61,87,90,3.36
153,Hofn,IS,40.14,64.25,-15.21,100,92,12.44
154,Yenotayevka,RU,61.74,47.24,47.04,69,80,5.95
155,Brejo da Madre de Deus,BR,62.82,-8.14,-36.37,96,80,6.4
156,Namatanai,PG,86.67,-3.66,152.44,89,20,2.59
157,Grand Gaube,MU,75.2,-20.01,57.66,60,40,9.17
159,Quirinopolis,BR,70.83,-18.45,-50.45,72,8,2.48
161,Catio,GW,74.43,11.28,-15.25,97,24,4.72
163,Husavik,CA,40.23,50.56,-96.99,100,92,11.32
164,Normandin,CA,44.6,48.84,-72.53,81,90,2.24
165,Maumere,ID,84.69,-8.63,122.22,94,36,8.75
166,Yerbogachen,RU,41.76,61.28,108.01,49,20,9.19
167,La Orilla,MX,78.75,18,-102.23,100,88,2.71
168,Dukhovnitskoye,RU,52.47,52.48,48.21,88,64,11.32
169,Norman Wells,CA,28.4,65.28,-126.83,74,40,4.7
170,Sault Sainte Marie,CA,41.2,46.49,-84.36,92,40,4.7
171,Lerwick,GB,44.6,60.15,-1.15,48,20,6.93
172,Mackay,CA,26.6,53.65,-115.58,73,90,6.93
173,Katsuura,JP,73.4,33.93,134.5,60,40,6.93
175,Mingshui,CN,82.53,22.81,109.89,48,0,8.41
176,Saskylakh,RU,28.62,71.97,114.09,93,88,4.61
178,Jiwani,PK,86.4,25.05,61.74,68,0,4.16
180,Acapulco,MX,79.47,16.86,-99.88,93,88,4.61
181,Khorinsk,RU,67.86,52.16,109.78,35,0,5.95
182,East London,ZA,53.6,-33.02,27.91,71,75,16.11
183,Gondanglegi,ID,89.64,-7.75,112.01,57,24,4.38
184,Dalmatovo,RU,52.65,56.26,62.94,71,36,9.08
185,Severo-Kurilsk,RU,50.04,50.68,156.12,92,20,14.23
186,Muskegon,US,56.61,43.23,-86.25,93,90,7.18
187,Bilibino,RU,32.94,68.06,166.44,96,12,2.15
188,Mareeba,AU,71.6,-16.99,145.42,83,75,11.41
189,Aquiles Serdan,MX,51.21,23.94,-104.58,80,0,2.26
190,Samarai,PG,77.85,-10.62,150.67,100,64,19.04
191,Agirish,RU,46.44,61.92,63.02,76,56,6.85
192,Bratsk,RU,41,56.15,101.63,69,40,11.18
193,Qinnan,CN,78.21,33.25,119.91,57,36,4.61
194,Senneterre,CA,44.6,48.39,-77.24,87,90,3.15
195,Mataura,NZ,51.21,-46.19,168.86,67,0,16.91
196,Mahebourg,MU,75.2,-20.41,57.7,60,40,9.17
197,Sayyan,YE,69.84,15.17,44.32,25,0,3.49
198,San Cristobal,EC,51.8,-0.39,-78.55,93,75,4.7
199,Romny,UA,51.93,50.74,33.49,100,92,4.94
200,Cayenne,GF,71.6,4.94,-52.33,100,12,8.75
201,Skjervoy,NO,38.21,70.03,20.97,64,75,17.22
202,Danilov,RU,45.99,58.19,40.17,99,92,11.43
203,Poso,ID,82.62,-1.4,120.75,100,12,7.29
205,Sao Domingos do Maranhao,BR,75.15,-5.58,-44.39,74,0,5.73
206,Vestmannaeyjar,IS,40.5,63.44,-20.27,100,92,9.75
207,Meulaboh,ID,83.88,4.14,96.13,100,36,4.38
208,Petropavlovsk-Kamchatskiy,RU,51.8,53.05,158.65,53,40,13.42
209,Hokitika,NZ,50.22,-42.72,170.96,97,92,6.06
210,Mujiayingzi,CN,70.92,42.12,118.78,29,0,2.15
211,Lethem,GY,84.51,3.38,-59.8,51,0,14
212,Murwara,IN,93.96,23.85,80.4,47,0,3.83
213,Olinda,EC,71.6,-2.03,-79.75,83,20,12.75
214,Kaeo,NZ,59.94,-35.1,173.78,71,0,8.41
215,Mildura,AU,65.25,-34.18,142.16,88,92,0.58
216,Mabaruma,GY,78.57,8.2,-59.78,96,36,6.29
218,Staryy Nadym,RU,41.31,65.61,72.68,92,20,9.08
220,Bundibugyo,UG,68.04,0.71,30.06,93,8,2.37
221,Airai,TL,80.55,-8.93,125.41,52,80,0.92
222,Najran,SA,78.8,17.54,44.22,22,0,2.82
223,Benjamin Constant,BR,77,-4.38,-70.03,94,75,2.37
224,Diffa,NE,78.48,13.32,12.61,65,0,4.61
225,Kaitangata,NZ,53.55,-46.28,169.85,61,0,13.33
226,Codrington,AU,72.09,-28.95,153.24,65,0,3.38
227,Jiuquan,CN,56.97,39.73,98.49,30,0,6.17
228,Puerto Escondido,MX,84.15,15.86,-97.07,100,32,6.96
229,Chifeng,CN,70.92,42.27,118.96,29,0,2.15
230,Avarua,CK,69.8,-21.21,-159.78,52,40,9.17
231,Necochea,AR,40.77,-38.55,-58.74,95,8,4.61
233,Muli,IN,93.33,22.62,71.45,47,0,4.94
235,Ancud,CL,39.69,-41.87,-73.83,92,68,2.93
236,Camacupa,AO,66.51,-12.02,17.48,62,20,3.49
238,Mogadishu,SO,82.4,2.04,45.34,74,40,10.29
239,Kuloy,RU,46.35,61.03,42.49,97,76,10.54
240,Tomatlan,MX,76.59,19.93,-105.25,93,80,1.14
242,Thinadhoo,MV,81.45,0.53,72.93,100,68,22.28
244,Juegang,CN,75.15,32.31,121.18,76,0,12.33
245,Teluknaga,ID,92.46,-6.1,106.64,55,40,13.87
247,Antofagasta,CL,57.2,-23.65,-70.4,76,90,5.82
248,Les Cayes,HT,82.26,18.19,-73.75,100,92,8.19
249,Mukdahan,TH,89.6,16.54,104.73,52,40,6.93
250,The Valley,AI,80.6,18.22,-63.06,83,20,2.59
251,Mopti,ML,72.09,14.49,-4.19,94,0,2.82
252,San Ciro de Acosta,MX,62.91,21.65,-99.82,97,68,1.25
255,Svetlaya,RU,58.41,46.54,138.33,91,0,16.46
256,Opuwo,NA,68.31,-18.06,13.84,29,0,7.07
257,Yinchuan,CN,69.21,38.48,106.21,29,0,5.06
258,Svetlogorsk,RU,46.4,53.14,59.15,52,36,6.71
259,Hualmay,PE,57.33,-11.1,-77.61,93,56,0.69
260,Balaipungut,ID,86.67,1.11,101.31,78,36,0.58
261,Cockburn Town,TC,81.81,21.46,-71.14,100,68,7.4
262,Vila Velha,BR,78.8,-3.71,-38.6,78,40,16.11
264,Thompson,CA,26.6,55.74,-97.86,68,5,5.73
265,Omsukchan,RU,30.51,62.53,155.8,84,88,4.38
266,Canandaigua,US,57.47,42.88,-77.28,93,90,5.39
267,Teya,MX,76.95,21.05,-89.07,84,8,4.38
268,Igarka,RU,36.81,67.47,86.57,97,0,13.33
269,Vilhena,BR,69.66,-12.74,-60.15,94,20,1.92
270,Tomohon,ID,89.6,1.33,124.84,55,40,9.17
271,Kamyshin,RU,59.49,50.08,45.4,97,88,11.21
272,Jumla,NP,47.61,29.28,82.18,76,0,1.48
273,Punta Alta,AR,62.6,-27.46,-55.82,100,90,5.82
274,Kaitong,CN,71.28,44.81,123.15,49,0,4.61
276,Bambanglipuro,ID,88.92,-7.95,110.28,51,44,5.5
277,San Patricio,PY,63.27,-26.98,-56.83,94,76,4.72
278,Pore,CO,66.06,5.73,-71.99,84,36,1.92
279,Buala,SB,82.08,-8.15,159.59,94,64,4.05
280,Georgetown,GY,75.2,6.8,-58.16,100,20,4.7
281,Jamestown,AU,61.74,-33.21,138.6,69,100,12.88
282,Melun,FR,58.1,48.54,2.66,100,90,4.7
283,Ukiah,US,64.04,39.15,-123.21,87,1,1.7
284,Khandbari,NP,44.82,27.38,87.21,69,36,0.47
285,Basco,US,67.32,40.33,-91.2,94,1,4.7
286,Honiara,SB,86,-9.43,159.96,79,40,5.82
287,Okha,RU,48.6,53.59,142.95,69,88,18.59
289,Rawson,AR,45.27,-43.3,-65.11,36,0,16.91
290,Swellendam,ZA,42.8,-34.02,20.44,93,88,4.7
291,Tual,ID,82.35,-5.67,132.75,95,32,12.33
292,Calbuco,CL,41,-41.77,-73.13,93,75,4.7
293,Dali,CN,61.38,25.6,100.24,98,44,1.48
294,Taoudenni,ML,74.34,22.68,-3.98,34,44,2.26
295,Berlevag,NO,36.36,70.86,29.09,86,75,16.11
296,Hasaki,JP,71.6,35.73,140.83,78,75,9.17
297,Bambous Virieux,MU,75.2,-20.34,57.76,60,40,9.17
298,Sobolevo,RU,43.74,54.43,31.9,90,56,13.44
299,Kirakira,SB,80.82,-10.46,161.92,100,92,13.67
300,Mahanoro,MG,73.35,-19.9,48.8,74,0,3.38
301,Turukhansk,RU,35.28,65.8,87.96,93,76,15.23
302,Fort Nelson,CA,32,58.81,-122.69,71,90,2.24
304,Kraskino,RU,67.14,42.71,130.78,79,0,3.83
305,San Quintin,PH,86,17.54,120.52,55,20,11.41
306,Lata,IN,62.1,30.78,78.62,77,0,1.92
307,Kungurtug,RU,37.26,50.6,97.53,87,92,8.86
308,Tiksi,RU,30.51,71.64,128.87,91,48,10.98
309,Tamandare,BR,74.07,-8.28,-70.75,94,24,2.59
310,Chernyshevskiy,RU,39.6,63.01,112.47,66,80,10.2
311,Timbuktu,ML,78.12,16.77,-3.01,44,8,7.29
313,Payson,US,58.53,40.04,-111.73,87,90,2.59
314,Victoria,BN,84.2,5.28,115.24,83,90,3.36
315,Roald,NO,42.71,62.58,6.12,81,75,18.34
316,Torbay,CA,35.6,47.66,-52.73,100,5,2.24
317,Maxixe,MZ,71.6,-23.86,35.35,83,75,3.36
319,Chakwal,PK,80.73,32.93,72.86,55,36,5.73
320,Gwadar,PK,87.39,25.12,62.33,62,0,1.7
321,Onverwacht,SR,75.2,5.59,-55.2,94,0,3.36
322,Huarmey,PE,57.15,-10.07,-78.15,88,32,2.71
323,Castro,CL,42.57,-42.48,-73.76,94,76,4.16
324,Siavonga,ZW,75.51,-16.54,28.71,57,0,4.38
325,Abu Dhabi,AE,87.8,24.47,54.37,70,0,4.7
327,Guerrero,AR,59,-24.19,-65.45,58,90,2.15
328,Guerrero Negro,MX,63.99,27.97,-114.04,97,0,2.48
329,Banjar,ID,87.93,-7.37,108.54,79,20,4.27
330,Arzachena,IT,59.86,41.08,9.39,100,40,4.7
331,Whitley Bay,GB,47.53,55.04,-1.44,81,40,8.05
332,Cherskiy,RU,41.85,68.75,161.3,76,48,3.15
333,Micheweni,TZ,76.32,-4.97,39.83,100,68,9.98
334,Romitan,UZ,75.2,39.93,64.38,33,0,9.17
335,Bay Roberts,CA,35.6,47.58,-53.28,93,5,2.24
336,Bingol,TR,64.08,38.88,40.49,55,0,3.6
337,Nata,CY,74.73,34.78,32.57,61,20,6.93
338,Nanchang,CN,77.76,28.68,115.89,45,0,10.76
339,Havre-Saint-Pierre,CA,32,50.23,-63.6,88,20,4.7
340,Leningradskiy,RU,41.4,69.38,178.42,87,32,16.46
341,Cervena Voda,CZ,47.25,50.04,16.74,80,68,16.69
342,Log,IT,47.19,45.62,13.84,87,0,9.17
343,Port Hardy,CA,37.4,50.7,-127.42,86,5,4.7
344,Pilas,ES,60.13,37.3,-6.3,59,20,3.36
346,Port Hawkesbury,CA,48.2,45.62,-61.36,81,90,9.17
347,Hay River,CA,28.4,60.82,-115.79,63,75,10.29
348,Mitsamiouli,KM,80.6,-11.38,43.28,65,20,9.17
349,Mnogovershinnyy,RU,47.79,53.94,139.92,56,88,7.85
350,Moscow,RU,48.65,55.75,37.62,100,90,6.71
351,Suamico,US,54.57,44.63,-88.04,91,90,4.7
352,Kijang,KR,75.2,35.24,129.21,38,0,6.93
353,Bourail,NC,68.94,-21.57,165.5,65,0,8.08
354,Xinzhou,CN,67.14,38.41,112.73,33,0,2.59
355,Pyay,MM,87.84,18.82,95.22,82,24,5.61
357,Salisbury,GB,52.25,51.07,-1.8,100,20,6.93
358,Talara,PE,65.97,-4.58,-81.27,88,56,5.5
359,Yar-Sale,RU,40.41,66.83,70.83,100,24,11.21
361,Batagay-Alyta,RU,22.41,67.8,130.41,86,24,3.6
362,Aksarka,RU,38.16,66.56,67.8,94,36,10.65
363,San Ramon,NI,64.44,12.92,-85.84,95,0,1.81
364,High Level,CA,28.4,58.52,-117.13,68,75,5.82
365,Aswan,EG,82.4,24.09,32.9,30,0,6.93
366,Jacksonville,US,74.98,30.33,-81.66,100,1,5.95
367,Mizdah,LY,58.23,31.45,12.98,88,8,2.48
368,Pevek,RU,42.3,69.7,170.27,94,0,4.5
369,Mount Gambier,AU,54.81,-37.83,140.78,84,92,8.97
370,Aklavik,CA,26.6,68.22,-135.01,86,20,6.93
371,Santa Rosa,AR,37.62,-36.62,-64.29,51,0,5.39
372,Dolinsk,RU,57.2,47.32,142.8,58,40,13.42
373,Charlestown,US,65.03,41.38,-71.64,100,90,8.05
374,Kjollefjord,NO,37.4,70.95,27.35,86,75,12.75
375,Winchester,GB,50.59,51.06,-1.31,93,0,4.7
376,Mount Isa,AU,93.2,-20.73,139.49,17,0,10.29
377,Sabha,LY,79.29,27.03,14.43,38,36,3.94
378,Carhuamayo,PE,34.47,-10.92,-76.06,90,48,1.92
379,Blagoyevo,RU,44.1,63.37,47.92,98,92,8.08
380,Chapais,CA,41,49.78,-74.86,86,90,5.82
381,Punta Arenas,CL,37.4,-53.16,-70.91,93,20,18.34
382,Alberton,ZA,64.4,-26.25,28.13,34,0,4.27
384,Pallasovka,RU,55.89,50.04,46.89,98,88,11.65
385,Sorland,NO,42.46,67.67,12.69,65,40,11.41
386,Okhotsk,RU,47.61,59.36,143.24,80,0,4.38
387,Porto Novo,BR,66.2,-23.68,-45.44,93,0,1.12
388,Chase,US,54.72,43.89,-85.64,97,90,5.82
389,Natal,BR,73.4,-5.81,-35.21,88,20,5.82
390,Zhuzhou,CN,82.4,27.84,113.15,21,0,6.71
391,Ponta do Sol,BR,64.62,-20.63,-46,95,68,2.37
392,Mananjary,MG,68.49,-19.16,46.8,52,0,3.71
393,Abu Kamal,SY,86.04,34.45,40.92,29,56,4.16
395,Guaruja,BR,67.93,-23.99,-46.26,77,0,4.7
396,Ornskoldsvik,SE,30.83,63.29,18.72,86,75,9.17
397,Surt,LY,71.1,31.21,16.59,100,0,9.64
398,Nikolskoye,RU,44.6,59.7,30.79,93,90,4.47
399,Keti Bandar,PK,82.17,24.14,67.45,95,0,11.99
400,Betsiamites,CA,44.6,48.94,-68.65,75,90,11.41
401,Touros,BR,75.06,-5.2,-35.46,98,100,10.09
402,Ilebo,CD,75.42,-4.33,20.59,87,64,2.93
403,Noumea,NC,73.4,-22.28,166.46,60,75,10.29
404,Provost,CA,27.63,52.35,-110.26,77,76,6.29
405,Seoul,KR,72.54,37.57,126.98,43,0,6.93
406,Camocim,BR,75.06,-2.9,-40.84,83,0,14.56
407,Nazca,PE,47.34,-14.83,-74.94,87,8,2.37
408,Tooele,US,58.93,40.53,-112.3,100,75,3.36
409,Kongsberg,NO,34.54,59.67,9.65,69,0,9.17
410,Chachapoyas,PE,55.26,-6.23,-77.87,88,32,2.37
411,Khani,GE,66.2,41.96,42.96,100,40,5.82
412,Trairi,BR,78.66,-3.28,-39.27,100,68,20.83
413,Leshukonskoye,RU,45.45,64.9,45.76,97,88,6.62
414,Sao Filipe,CV,78.3,14.9,-24.5,97,8,12.66
415,Hohhot,CN,62.6,40.81,111.65,29,0,6.71
416,Balfour,CA,33.93,49.62,-116.96,98,92,1.7
417,East Bethel,US,53.13,45.32,-93.2,71,90,6.93
418,Oudtshoorn,ZA,51.8,-33.59,22.2,93,40,4.7
419,Santa Maria,BR,56.79,-29.69,-53.81,98,92,8.63
420,Puri,ID,89.64,-7.54,112.45,57,24,4.38
421,Kurchum,KZ,51.21,48.57,83.65,70,0,13.56
422,Savelugu,GH,71.1,9.63,-0.83,96,36,4.72
423,Aripuana,BR,73.17,-9.17,-60.63,98,36,1.25
424,Kabalo,CD,77.85,-6.05,26.92,72,76,9.08
425,New Norfolk,AU,53.6,-42.78,147.06,58,40,25.28
426,Estelle,US,75.76,32.87,-97.01,73,1,4.7
427,Yaan,NG,74.61,7.38,8.57,94,80,4.72
428,Wisconsin Rapids,US,51.04,44.39,-89.82,100,90,6.93
429,Raymond,US,51.64,43.04,-71.18,100,90,5.82
430,Kushima,JP,77,31.5,131.29,65,20,9.17
431,Galle,US,75.02,29.74,-97.91,94,75,5.82
432,Quepos,CR,69.8,9.43,-84.16,94,75,2.24
433,La Ronge,CA,30.2,55.1,-105.3,58,20,6.93
434,Luena,AO,67.23,-11.78,19.91,70,0,3.49
435,Bertinoro,IT,47.26,44.15,12.13,93,0,4.7
436,Darab,IR,78.93,28.75,54.55,12,0,3.04
437,Marystown,CA,40.5,47.17,-55.16,100,0,7.18
438,Ridge,GB,52.68,51.69,-0.24,87,24,6.93
439,Ust-Barguzin,RU,64.89,53.41,109.03,49,0,4.94
440,Dobarlau,RO,40.77,45.73,25.88,84,8,3.27
441,Mana,RS,43.66,43.52,20.24,100,0,1.12
442,Naze,NG,75.2,5.43,7.07,94,75,2.71
443,Lamu,ID,86.31,0.57,122.3,58,12,5.17
444,Capelinha,BR,68.94,-17.69,-42.52,72,0,8.63
446,Idanre,NG,72.99,7.11,5.11,98,88,3.04
447,Esmeraldas,BR,68,-19.76,-44.31,77,0,3.36
448,Saint-Denis,FR,57.87,48.94,2.36,93,90,4.7
449,Pirae,PF,77,-17.52,-149.53,65,40,4.7
450,Bibbiena,IT,45.68,43.7,11.82,93,0,2.24
451,Vieques,PR,77.9,18.43,-65.83,76,1,4.7
452,Sinnamary,GF,81.9,5.38,-52.96,93,0,13
453,Morondava,MG,80.37,-20.3,44.28,71,0,3.94
454,Namibe,AO,66.87,-15.19,12.15,99,0,3.15
455,Mehamn,NO,37.4,71.03,27.85,86,75,20.8
456,Batemans Bay,AU,72.72,-35.71,150.18,55,12,6.06
457,Nosy Varika,MG,74.16,-20.58,48.53,90,0,5.06
458,Davila,PH,86,18.47,120.58,55,20,11.41
459,Dourbali,TD,77.22,11.81,15.86,81,0,2.93
460,Kvarkeno,RU,54,52.08,59.73,47,24,8.75
461,Melbu,NO,39.2,68.5,14.83,100,75,2.24
462,Ust-Ishim,RU,50.04,57.69,71.17,76,92,7.18
463,Mayo,CA,23,63.59,-135.9,73,5,3.36
465,Hit,IQ,88.65,33.64,42.83,29,12,2.93
466,Weihe,CN,65.61,32.99,105.33,37,76,2.37
467,Davidson,US,64.94,35.5,-80.85,100,1,3.71
468,Meadow Lake,CA,24.75,54.13,-108.44,67,0,7.07
469,Kaka,TM,72.27,37.35,59.62,44,0,2.48
470,Rikitea,PF,65.25,-23.12,-134.97,100,100,17.92
471,Sambava,MG,74.79,-14.27,50.17,100,24,14.9
472,Faya,SA,69.85,18.39,42.45,28,0,4.38
474,Itaqui,BR,59.85,-29.13,-56.55,88,76,12.21
476,Ahuimanu,US,76.3,21.44,-157.84,23,20,6.93
477,Ilhabela,BR,72.27,-23.78,-45.36,98,36,1.03
478,Kantunilkin,MX,77.76,21.1,-87.49,84,48,3.27
479,Novopavlovka,RU,66.15,51.21,109.22,43,0,7.52
480,Emerald,AU,84.24,-23.53,148.16,26,0,8.3
482,Arman,RU,53.6,59.7,150.17,40,0,8.95
483,Tautira,PF,77,-17.73,-149.15,65,40,4.7
485,Esperance,TT,77,10.24,-61.45,94,20,4.94
486,Vysokovsk,RU,50,56.32,36.55,93,90,6.71
487,Plainview,US,71.51,34.18,-101.71,77,1,12.75
488,Itaituba,BR,76.5,-4.26,-55.99,82,0,1.81
489,Sayat,TM,77,38.78,63.88,25,0,9.17
491,Cabedelo,BR,73.4,-6.97,-34.84,94,75,4.7
